cod_mun;tipo;total;sus;naosus
3500105;15;1;1;0
3500105;20;7;6;1
3500105;3;106;99;7
3500105;6;4;4;0
3500105;30;7;3;4
3500105;10;10;7;3
3500105;41;2;1;1
3500105;43;1;1;0
3500105;5;11;11;0
3500105;48;2;2;0
3500105;51;2;2;0
3500105;54;3;3;0
3500105;56;5;2;3
3500105;57;1;1;0
3500105;58;4;4;0
3500105;59;3;3;0
3500105;8;25;25;0
3500105;9;2;2;0
3500105;66;1;1;0
3500204;3;10;9;1
3500204;6;1;1;0
3500204;54;1;1;0
3500204;8;1;1;0
3500303;20;3;1;2
3500303;3;36;26;10
3500303;6;6;6;0
3500303;30;3;;3
3500303;31;1;;1
3500303;10;10;3;7
3500303;5;3;3;0
3500303;48;1;1;0
3500303;54;1;1;0
3500303;56;2;;2
3500303;58;2;1;1
3500303;8;4;2;2
3500303;9;2;2;0
3500402;20;1;1;0
3500402;3;14;12;2
3500402;6;2;2;0
3500402;30;1;1;0
3500402;10;2;2;0
3500402;5;1;1;0
3500402;54;2;2;0
3500402;56;1;1;0
3500402;8;2;2;0
3500501;12;1;1;0
3500501;1;1;1;0
3500501;20;2;;2
3500501;2;1;1;0
3500501;3;30;28;2
3500501;6;5;5;0
3500501;30;1;;1
3500501;10;1;1;0
3500501;4;2;2;0
3500501;5;2;2;0
3500501;54;1;;1
3500501;58;2;;2
3500501;59;1;;1
3500501;8;6;5;1
3500501;9;1;1;0
3500501;11;1;1;0
3500550;20;2;2;0
3500550;3;9;9;0
3500550;6;1;1;0
3500550;31;1;1;0
3500550;32;1;1;0
3500550;8;2;2;0
3500600;3;12;12;0
3500600;10;1;1;0
3500600;54;1;1;0
3500600;56;2;2;0
3500600;58;1;1;0
3500600;8;2;2;0
3500709;1;1;1;0
3500709;20;5;5;0
3500709;2;1;1;0
3500709;26;3;3;0
3500709;3;37;34;3
3500709;6;7;7;0
3500709;30;3;3;0
3500709;10;2;2;0
3500709;38;2;2;0
3500709;5;11;11;0
3500709;54;3;3;0
3500709;56;6;;6
3500709;58;6;6;0
3500709;59;1;1;0
